주문번호,사용자아이디,성별,연령대,지역,product,quantity,price,total_amount,order_date
ORD000001,user0229,남,50대,부산,웹캠,7,334920,2344440,2025-09-02
ORD000002,user0165,여,20대,경기,이어폰,8,148084,1184672,2025-06-01
ORD000003,user0286,남,60대,부산,프린터,2,186078,372156,2025-02-09
ORD000004,user0031,남,10대,부산,충전기,2,260315,520630,2025-07-17
ORD000005,user0054,여,20대,대구,SSD,4,256666,1026664,2025-06-09
ORD000006,user0079,남,20대,부산,CPU,8,344560,2756480,2025-07-06
ORD000007,user0445,남,70대,광주,모니터,7,238204,1667428,2025-02-05
ORD000008,user0085,여,70대,경기,마우스,5,222823,1114115,2025-08-25
ORD000009,user0057,남,10대,기타,마우스,2,391608,783216,2025-05-17
ORD000010,user0339,여,30대,대전,키보드,1,250687,250687,2025-10-09
ORD000011,user0221,남,20대,광주,USB,2,186821,373642,2025-08-09
ORD000012,user0028,여,30대,대구,키보드,9,175975,1583775,2025-01-26
ORD000013,user0476,여,20대,대전,모니터,7,384779,2693453,2025-07-26
ORD000014,user0142,여,50대,광주,키보드,3,312452,937356,2025-12-15
ORD000015,user0128,남,20대,경기,노트북,1,339870,339870,2025-01-19
ORD000016,user0123,남,50대,경기,이어폰,10,140554,1405540,2025-04-26
ORD000017,user0367,여,40대,광주,키보드,10,367745,3677450,2025-04-23
ORD000018,user0106,남,70대,부산,스마트폰,5,260612,1303060,2025-11-23
ORD000019,user0306,여,60대,서울,키보드,5,371070,1855350,2025-04-05
ORD000020,user0359,여,60대,대전,그래픽카드,9,476939,4292451,2025-12-19
ORD000021,user0162,남,20대,인천,스마트폰,4,90250,361000,2025-08-22
ORD000022,user0342,여,40대,대구,노트북,3,7676,23028,2025-04-01
ORD000023,user0040,남,60대,서울,웹캠,5,463032,2315160,2025-06-30
ORD000024,user0001,여,70대,부산,충전기,8,306743,2453944,2025-02-26
ORD000025,user0009,여,70대,부산,USB,1,430353,430353,2025-09-15
ORD000026,user0076,남,10대,대전,SSD,3,396833,1190499,2025-06-21
ORD000027,user0377,여,50대,대전,스피커,8,258248,2065984,2025-09-07
ORD000028,user0235,남,70대,대구,이어폰,5,191992,959960,2025-12-30
ORD000029,user0266,여,10대,대전,스피커,6,468335,2810010,2025-09-23
ORD000030,user0211,남,60대,인천,스마트폰,1,78542,78542,2025-09-12
ORD000031,user0296,여,30대,부산,프린터,1,129119,129119,2025-02-15
ORD000032,user0489,여,60대,경기,이어폰,4,483684,1934736,2025-11-17
ORD000033,user0468,여,50대,인천,이어폰,9,472450,4252050,2025-12-14
ORD000034,user0170,여,50대,광주,이어폰,6,466565,2799390,2025-06-08
ORD000035,user0297,여,70대,경기,태블릿,4,22548,90192,2025-08-21
ORD000036,user0406,여,30대,경기,노트북,10,416511,4165110,2025-09-13
ORD000037,user0349,남,50대,대전,웹캠,3,245484,736452,2025-10-13
ORD000038,user0250,여,10대,대전,노트북,3,160197,480591,2025-08-21
ORD000039,user0145,남,10대,기타,이어폰,1,114941,114941,2025-01-03
ORD000040,user0339,남,10대,대전,마우스,7,185683,1299781,2025-06-29
ORD000041,user0440,남,10대,대전,마우스,5,412704,2063520,2025-04-11
ORD000042,user0471,남,30대,부산,노트북,7,307826,2154782,2025-08-31
ORD000043,user0416,여,40대,광주,CPU,6,131405,788430,2025-02-20
ORD000044,user0155,여,20대,광주,스피커,5,483446,2417230,2025-06-15
ORD000045,user0350,남,30대,인천,태블릿,10,73968,739680,2025-10-11
ORD000046,user0157,남,30대,기타,USB,4,158843,635372,2025-04-04
ORD000047,user0449,여,10대,인천,USB,7,411205,2878435,2025-08-15
ORD000048,user0479,여,40대,대구,태블릿,6,265144,1590864,2025-08-27
ORD000049,user0237,남,50대,서울,SSD,7,216093,1512651,2025-08-04
ORD000050,user0072,여,70대,부산,웹캠,2,397286,794572,2025-09-20
ORD000051,user0318,여,10대,광주,마우스,6,67728,406368,2025-07-26
ORD000052,user0414,여,70대,서울,키보드,1,243644,243644,2025-01-29
ORD000053,user0333,남,30대,경기,그래픽카드,5,436103,2180515,2025-05-29
ORD000054,user0354,여,70대,서울,키보드,10,253427,2534270,2025-10-27
ORD000055,user0368,남,60대,부산,USB,9,388639,3497751,2025-03-15
ORD000056,user0496,여,20대,부산,CPU,9,389195,3502755,2025-12-12
ORD000057,user0322,여,60대,서울,SSD,3,158754,476262,2025-09-06
ORD000058,user0103,남,10대,서울,마우스,10,361592,3615920,2025-11-06
ORD000059,user0050,남,20대,경기,충전기,2,273536,547072,2025-01-13
ORD000060,user0201,남,10대,대전,태블릿,9,233687,2103183,2025-09-05
ORD000061,user0121,여,70대,기타,그래픽카드,3,431058,1293174,2025-12-03
ORD000062,user0222,남,60대,서울,마우스,10,65590,655900,2025-03-14
ORD000063,user0262,남,40대,기타,이어폰,4,90535,362140,2025-05-29
ORD000064,user0253,여,60대,대전,태블릿,2,309681,619362,2025-07-17
ORD000065,user0214,여,20대,서울,이어폰,2,244250,488500,2025-08-23
ORD000066,user0200,남,50대,대전,노트북,2,296808,593616,2025-11-27
ORD000067,user0022,여,20대,기타,CPU,10,234035,2340350,2025-08-23
ORD000068,user0082,여,50대,부산,스마트폰,5,5781,28905,2025-12-28
ORD000069,user0263,남,20대,인천,스마트폰,9,205799,1852191,2025-12-02
ORD000070,user0236,남,30대,대전,CPU,10,178886,1788860,2025-07-21
ORD000071,user0430,여,40대,기타,웹캠,2,481331,962662,2025-12-04
ORD000072,user0363,여,20대,대구,웹캠,3,303010,909030,2025-10-25
ORD000073,user0317,여,10대,서울,노트북,6,307442,1844652,2025-03-23
ORD000074,user0341,남,40대,기타,스마트폰,4,51614,206456,2025-04-29
ORD000075,user0461,남,60대,광주,SSD,4,56276,225104,2025-08-04
ORD000076,user0314,여,10대,서울,그래픽카드,2,33467,66934,2025-02-07
ORD000077,user0192,남,20대,대구,키보드,8,401216,3209728,2025-12-24
ORD000078,user0069,남,20대,대전,충전기,8,198986,1591888,2025-08-13
ORD000079,user0104,남,40대,부산,키보드,5,119225,596125,2025-10-26
ORD000080,user0492,남,20대,서울,SSD,1,330837,330837,2025-03-13
ORD000081,user0397,여,50대,경기,스마트폰,1,189513,189513,2025-04-05
ORD000082,user0098,남,50대,기타,USB,9,261138,2350242,2025-06-30
ORD000083,user0461,남,70대,경기,충전기,6,325261,1951566,2025-08-07
ORD000084,user0037,남,20대,대전,키보드,7,459215,3214505,2025-03-02
ORD000085,user0027,여,10대,부산,그래픽카드,8,121886,975088,2025-05-29
ORD000086,user0361,여,10대,인천,이어폰,5,205695,1028475,2025-02-08
ORD000087,user0124,여,40대,서울,USB,9,302652,2723868,2025-12-24
ORD000088,user0242,여,60대,서울,노트북,2,306540,613080,2025-06-23
ORD000089,user0103,여,70대,서울,마우스,7,137776,964432,2025-04-15
ORD000090,user0376,여,70대,서울,모니터,9,429218,3862962,2025-09-10
ORD000091,user0486,남,30대,경기,태블릿,2,423398,846796,2025-11-03
ORD000092,user0042,여,20대,대전,프린터,10,488254,4882540,2025-01-22
ORD000093,user0255,남,60대,대구,태블릿,2,19664,39328,2025-09-02
ORD000094,user0436,남,10대,서울,노트북,5,410753,2053765,2025-04-11
ORD000095,user0441,여,60대,서울,USB,9,319839,2878551,2025-09-04
ORD000096,user0393,여,60대,인천,태블릿,1,203964,203964,2025-12-26
ORD000097,user0071,남,40대,경기,CPU,7,289119,2023833,2025-11-12
ORD000098,user0100,여,40대,서울,모니터,6,185438,1112628,2025-04-29
ORD000099,user0006,남,40대,서울,SSD,2,309605,619210,2025-01-08
ORD000100,user0030,남,10대,인천,충전기,4,427047,1708188,2025-04-03
ORD000101,user0161,여,50대,부산,이어폰,5,23921,119605,2025-03-08
ORD000102,user0246,남,60대,경기,키보드,10,209571,2095710,2025-05-09
ORD000103,user0254,여,70대,부산,충전기,9,108930,980370,2026-01-01
ORD000104,user0188,여,70대,부산,USB,5,494578,2472890,2025-05-17
ORD000105,user0278,남,10대,대구,CPU,6,366833,2200998,2025-07-30
ORD000106,user0144,남,20대,인천,그래픽카드,10,255912,2559120,2025-09-24
ORD000107,user0380,남,10대,대구,프린터,4,160875,643500,2025-03-14
ORD000108,user0358,여,60대,기타,키보드,1,124262,124262,2025-01-11
ORD000109,user0018,여,30대,광주,이어폰,8,439475,3515800,2025-02-13
ORD000110,user0438,여,40대,서울,그래픽카드,1,147324,147324,2025-07-15
ORD000111,user0023,남,20대,광주,마우스,7,233794,1636558,2025-12-04
ORD000112,user0027,여,10대,대구,CPU,7,280179,1961253,2025-01-14
ORD000113,user0458,여,70대,대전,SSD,10,396563,3965630,2025-10-30
ORD000114,user0015,여,60대,광주,그래픽카드,4,398018,1592072,2025-08-07
ORD000115,user0056,여,60대,대전,그래픽카드,1,424308,424308,2025-10-01
ORD000116,user0294,여,20대,광주,충전기,8,223211,1785688,2025-05-02
ORD000117,user0008,여,70대,대전,키보드,3,476902,1430706,2025-05-08
ORD000118,user0173,여,10대,대전,스마트폰,9,156097,1404873,2025-05-18
ORD000119,user0335,남,10대,대전,웹캠,5,411216,2056080,2025-12-05
ORD000120,user0136,남,40대,기타,노트북,6,439304,2635824,2025-08-14
ORD000121,user0019,여,40대,부산,태블릿,1,245548,245548,2025-01-30
ORD000122,user0041,여,50대,대구,키보드,10,493219,4932190,2025-08-14
ORD000123,user0393,여,30대,기타,마우스,3,136269,408807,2025-04-27
ORD000124,user0447,남,20대,경기,스피커,3,78018,234054,2025-01-20
ORD000125,user0260,여,50대,대구,노트북,3,359844,1079532,2025-10-11
ORD000126,user0488,여,30대,서울,스피커,4,32883,131532,2025-06-30
