"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026-01-26","152400","154900","156400","152200","8.48M","0.20%"
"2026-01-23","152100","154700","156000","150100","25.20M","-0.13%"
"2026-01-22","152300","155000","157000","150800","31.01M","1.87%"
"2026-01-21","149500","141900","149800","141800","31.02M","2.96%"
"2026-01-20","145200","148500","149300","143900","23.64M","-2.75%"
"2026-01-19","149300","147200","150600","146600","22.65M","0.27%"
"2026-01-16","148900","145300","149500","144300","29.55M","3.47%"
"2026-01-15","143900","139000","144000","138300","24.39M","2.57%"
"2026-01-14","140300","137000","140300","136800","18.44M","1.96%"
"2026-01-13","137600","139800","140200","136900","22.20M","-0.86%"
"2026-01-12","138800","141000","142000","136900","25.11M","-0.14%"
"2026-01-09","139000","136000","140700","135200","29.51M","0.14%"
"2026-01-08","138800","138300","144500","138300","40.97M","-1.56%"
"2026-01-07","141000","143500","144400","137600","44.86M","1.51%"
"2026-01-06","138900","135300","139300","132700","45.21M","0.58%"
"2026-01-05","138100","134600","138600","133600","42.85M","7.47%"
"2026-01-02","128500","120200","128500","120200","29.44M","7.17%"
"2025-12-30","119900","119100","121200","118700","18.87M","0.33%"
"2025-12-29","119500","119400","119700","118200","19.68M","2.14%"
"2025-12-26","117000","112400","117000","112400","34.00M","5.31%"
"2025-12-24","111100","112400","112400","110900","12.49M","-0.36%"
"2025-12-23","111500","110900","112500","110400","20.42M","0.90%"
"2025-12-22","110500","109700","110500","109300","24.71M","3.95%"
"2025-12-19","106300","109700","109700","106200","22.67M","-1.21%"
"2025-12-18","107600","106400","108200","105700","20.01M","-0.28%"
"2025-12-17","107900","103500","108100","103400","22.11M","4.96%"
"2025-12-16","102800","104900","105600","102700","18.83M","-1.91%"
"2025-12-15","104800","105300","105800","104600","20.32M","-3.76%"
"2025-12-12","108900","107100","108900","106800","13.45M","1.49%"
"2025-12-11","107300","109200","110500","107300","22.85M","-0.65%"
"2025-12-10","108000","108300","109800","107400","12.22M","-0.37%"
"2025-12-09","108400","108900","109400","107300","13.32M","-1.00%"
"2025-12-08","109500","109700","110000","108000","15.53M","1.01%"
"2025-12-05","108400","105300","108400","104600","19.74M","3.14%"
"2025-12-04","105100","103900","105100","103200","11.80M","0.57%"
"2025-12-03","104500","104700","105500","104000","14.53M","1.06%"
"2025-12-02","103400","101200","103500","101000","13.62M","2.58%"
"2025-12-01","100800","102000","102800","99900","10.91M","0.30%"
"2025-11-28","100500","103800","103800","100500","14.54M","-2.90%"
"2025-11-27","103500","104100","105500","102700","16.42M","0.68%"
"2025-11-26","102800","100500","102900","99300","21.27M","3.52%"
"2025-11-25","99300","101400","101400","97800","16.11M","2.69%"
"2025-11-24","96700","97800","99000","96200","28.50M","2.00%"
"2025-11-21","94800","95600","96800","94500","22.97M","-5.77%"
"2025-11-20","100600","100900","102900","99500","25.21M","4.25%"
"2025-11-19","96500","97100","97500","94600","17.45M","-1.33%"
"2025-11-18","97800","99800","100900","97500","18.68M","-2.78%"
"2025-11-17","100600","99800","101000","99500","17.10M","3.50%"
"2025-11-14","97200","99000","99600","97200","21.81M","-5.45%"
"2025-11-13","102800","102500","104200","102300","20.84M","-0.29%"
"2025-11-12","103100","103000","103900","101600","19.41M","-0.39%"
"2025-11-11","103500","103700","106000","102000","27.35M","2.88%"
"2025-11-10","100600","98600","101000","97900","23.42M","2.76%"
"2025-11-07","97900","96400","100000","96300","22.88M","-1.31%"
"2025-11-06","99200","103700","103800","98800","28.49M","-1.39%"
"2025-11-05","100600","101000","102000","96700","44.83M","-4.10%"
"2025-11-04","104900","111800","112400","104900","30.44M","-5.58%"
"2025-11-03","111100","106900","111500","106500","29.95M","3.35%"
"2025-10-31","107500","105000","108600","103300","36.69M","3.27%"
"2025-10-30","104100","102400","105800","102000","34.37M","3.58%"
"2025-10-29","100500","100200","101000","99100","20.65M","1.01%"
"2025-10-28","99500","100900","101000","99100","19.83M","-2.45%"
"2025-10-27","102000","101300","102000","100600","22.10M","3.24%"
"2025-10-24","98800","97900","99000","97700","18.57M","2.38%"
"2025-10-23","96500","96800","98500","96300","18.26M","-2.13%"
"2025-10-22","98600","97100","98600","95500","15.53M","1.13%"
"2025-10-21","97500","98500","99900","97300","22.74M","-0.61%"
"2025-10-20","98100","97900","98300","96000","17.56M","0.20%"
"2025-10-17","97900","97200","99100","96700","22.19M","0.20%"
"2025-10-16","97700","95300","97700","95000","26.45M","2.84%"
"2025-10-15","95000","92300","95300","92100","20.92M","3.71%"
"2025-10-14","91600","95300","96000","90200","35.47M","-1.82%"
"2025-10-13","93300","91300","93400","90700","23.79M","-1.17%"
"2025-10-10","94400","94000","94500","92700","34.63M","6.07%"
"2025-10-06","89000","89300","89000","89000","49.75M","0.00%"
"2025-10-02","89000","89300","90300","88700","49.75M","3.49%"
"2025-10-01","86000","84900","86200","84700","21.72M","2.50%"
